origen 2022-2023,Total,Alumnes,3r ESO,4t ESO,1r BATX,2n BATX,CFPB,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
3r ESO,88595,84701,2100,82165,0,0,436,0,0,0,0,0,0,0,0
4t ESO,85038,74241,0,2968,47838,0,39,22800,23,0,0,573,0,0,0
1r BATX,52893,50705,0,0,2997,43482,0,3942,148,27,0,92,14,3,0
2n BATX,47038,12379,0,0,0,2686,0,428,45,8700,22,10,0,484,4
1r CFPM,44777,34657,0,0,269,44,0,9294,23028,1924,52,39,3,3,1
2n CFPM,29086,18993,0,0,36,4,0,641,6303,11810,120,9,2,64,4
1r CFPS,34168,28910,0,0,7,5,0,96,8,2717,26058,0,0,15,4
2n CFPS,34312,8579,0,0,1,1,0,91,15,1136,7295,0,0,37,3
1r CFAM,1021,872,0,0,18,0,0,16,2,4,0,112,682,37,1
2n CFAM,687,498,0,0,2,5,0,11,4,45,1,9,85,326,10
1r CFAS,1874,1527,0,0,0,3,0,2,0,43,4,0,1,190,1284
2n CFAS,2148,902,0,0,0,0,0,3,2,40,4,2,0,79,772
Alumnes,421637,316964,2100,85133,51168,46230,475,37324,29578,26446,33556,846,787,1238,2083
